word,score
so,0.5
kinda,0.5
very,0.75
really,0.5
super,0.9
quite,0.75
mega,0.8
totally,0.9
extremely,0.9
incredibly,0.9
absolutely,0.8
awfully,0.5
seriously,0.75
remarkably,0.75
exceedingly,0.9
intensely,0.9
utterly,0.8
terribly,0.8
exceptionally,0.9
unbelievably,0.9
insanely,0.9
fantastically,0.9
astoundingly,0.9
tremendously,0.9
unusually,0.5
abundantly,0.8
widly,0.75
immensely,0.9
overwhelmingly,0.9
astonishingly,0.9
perfectly,0.8
profoundly,0.9
positively,0.9
negatively,-0.8
deeply,0.8
massively,0.9
remarkably,0.75
stupendously,0.8
wonderfully,0.9
truly,0.75
exceptionally,0.9
amazingly,0.9
especially,0.5
outstandingly,0.8
significantly,0.8
particularly,0.8
indescribably,0.75
Phenomenally,0.9
Barely,0.3
Hardly,0.4
Slightly,0.25
Somewhat,0.25
Moderately,0.5
Minimally,0.25
Marginally,0.4
Scarely,0.25
Partly,0.5
halfway,0.5
just,0.5
nearly,0.5
almost,0.6
kind of,0.4
more,0.75
less,0.25
bit,0.25
sorta,0.5
too,0.75
enough,0.75
simply,0.8
purely,0.9
exactly,0.9
exclusively,0.9
entirely,0.8
completely,0.9
fully,0.9
wholly,0.8
much,0.7