Abbreviations,Meaning
lol,laughing out loud
rofl,rolled on the floor laughing
brb,be right back
ily,i love you
ty,thank you
imy,i miss you
yolo,you only live once
fomo,fear of missing out
idk,i do not know
idc,i do not care
ffs,for freaks sake
smh,shake my head
ngl,not going to lie
w/,with
w,win
ab,about
abt,about
u,you
r,are
gtg,going to go
nvm,never mind
bcez,because
bcoz,because
coz,because
bcos,because
cld,could
ez,easy
fbm,fine by me
ftw,for the win
fyi,for your information
ik,i know
wfh,work from home
lmfao,laughing my freaking ass off
lmk,let me know
af,as freak
aight,alright
awol,away without leaving
irl ,in real life
bt,bad trip
bb,baby
btw,by the way 
cu,see you
idgaf,i don't give a freak
dgaf,don't give a freak
df,the freak 
dis,this
dm,direct message
dnt,don't 
dw,don't worry
enf,enough
eta,estimated time of arrival
ftw,for the win
fu,freak you
fwm,fine with me
gg,good game
gn,good night
gm,good morning
gr8,great
grl,girl
grw,get ready with me
h8,hate
hbd,happy birthday
hbu,how about you
hru,how are you
hw,homework
idts,i don't think so
ig,instagram
ilysm,i love you so much
imo,in my opinion
jk,just kidding
kkk,okay
kk,okay
k,okay
ldr,long distance relationship
l2g,like to go
ly,love you
mfw,my face when
m8,mate
nbd,no big deal
nsfw,not safe for work
nm,nothing much
np,no problem
nw,no way
og,original gangster
ofc,ofcourse
omg,oh my god
omfg,oh my freaking god
ootd,outfit of the day
otb,off to bed
otw,off to work
pm,private message
ppl,people
prob,probably
qt,cutie
rly,really
sh,same here
sis,sister
bro,brother
sry,sorry
sup,what's up
tbh,to be honest
ty,thank you
thnk,thank you
thx,thanks
ttly,totally
ttyl,talk to you later
u're,you are
ure,you are
ur,your
wb,welcome back
whatevs,whatever
wyd,what are you doing
wdyk,what do you know
wru,where are you
wtf,what the freak
wtg,way to go
wywh,wish you were here
xd,laugh
xoxo,hugs and kisses
xo,hugs and kisses
y,why
tryna,trying to be 
143,I love you
1432,I love you too
2EZ,Too easy
ZZZZ,Sleeping
ya,yeah
mb,my bad
stfu,shut the freak up
cwyl,chat with you later
b/c,because
b,be
b4,before
cre8,create
deets,details
ikr,i know right
kk,okay
wtv,whatever
4,for
y/o,years old
bcoz ,because
b,be
obv,observe
hv,have
asap,as soon as possible
vs,versus
fb,facebook
fk,freak
twt,twitter
fml,fuck my life
fck,fuck
w/,with
s/o,shout out
szn,season
prob,probably
uwu,cute
nd,and
d,the
gurlfrnd,girlfriend
frnd,friend
gurl,girl
boi,boy
yo,year old
fam,family
mnts,minutes
sec,second
secs,seconds
bro,brother
bruv,brother
f,freak
dat,that
asf,and so forth
fyd,follow your dreams
goin,going
thru,through
bf,boyfriend
gf,girlfriend
enjoyin,enjoying
info,information
dam,damn
veg,vegetable
oml,on my life
andry,angry
lil,little
knw,know
wid,with
iz,is
hav,have
esp,especially
ppl, people
lb,pound
pple, people
nthn,nothing
fq,frequency
plz,please
ft,feet
fr,for real
pls, please
lt,lit
imma,i am going to
f,fuck
becz,because
urself,yourself